asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0GYF2JMSD,"NIMO 15.6"" IPS FHD Gaming Laptop | 8 Cores AMD Ryzen 7 6800H 32GB LPDDR5 RAM 1TB SSD (Beat i7-12700H, Up to 4.7GHz) AMD Radeon 680M GPU Computer with 100W Type-C | Backlit KB, 180°Viewing",,laptop,,USD,,0.0,5.0,2000000,,In Stock,False,,,https://m.media-amazon.com/images/I/71MhuGqtysL._AC_UY218_.jpg,2026-06-12T09:58:58.134363
B0CBJ46QZX,"Lenovo Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS, Abyss Blue",,laptop,,USD,,0.0,4.3,,,In Stock,False,,,https://m.media-amazon.com/images/I/61KlKRdsQ7L._AC_UY218_.jpg,2026-06-12T09:58:58.316347
B0DTBPC46X,"Lenovo IdeaPad Slim 3X - 2025 - Everyday AI Laptop - Copilot+ PC - 15.3"" WUXGA Display - 16 GB Memory - 512 GB Storage - Snapdragon® X - Luna Grey",,laptop,,USD,,0.0,4.4,2000000,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/71nYpJKrGNL._AC_UY218_.jpg,2026-06-12T09:58:58.565705
B0DT1MJP2V,"Lenovo IdeaPad 1i Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1235U Processor, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",,laptop,,USD,,0.0,4.4,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/71PCVp1dbdL._AC_UY218_.jpg,2026-06-12T09:58:58.785447
B0D58RNGKY,"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.1 GHz Win 11 Pro (Renewed), Black",,laptop,18771.55,USD,,0.0,4.2,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/61PkGRSw05L._AC_UY218_.jpg,2026-06-12T09:58:59.037569
B0G9CTCNC1,"ASUS VivoBook Laptop 2026 Edition | Intel 13th Gen 6-Core Processor Up to 4.5GHz (Beat i7-1195G7) | 16GB RAM | 256GB PCIe SSD | 14"" FHD Display | Bluetooth | HDMI | Thin & Light | Win 11 w/o Mouse",,laptop,,USD,,0.0,4.1,,,In Stock,False,,,https://m.media-amazon.com/images/I/61wPoXSob6L._AC_UY218_.jpg,2026-06-12T09:58:59.237215
B0GR1493ZV,"Apple 2026 MacBook Air 13-inch Laptop with M5 chip: Built for AI, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD, 12MP Center Stage Camera, Touch ID, Wi-Fi 7; Sky Blue",,laptop,,USD,,0.0,4.8,,6000,In Stock,False,,,https://m.media-amazon.com/images/I/71igu9e9hFL._AC_UY218_.jpg,2026-06-12T09:58:59.461610
B0G6YH29KQ,"Laptop 16-inch 8GB DDR 256GB SSD portable laptop computer, expandable to 1TB, AMD A9-9400 Radeon R5 CPU up to 3.2 GHz, 9000mAh battery, Numeric Keypad, USB 3.0, dual-band WiFi, webcam, slim laptops",,laptop,,USD,,0.0,5.0,,,In Stock,False,,,https://m.media-amazon.com/images/I/71-Tlz6oEEL._AC_UY218_.jpg,2026-06-12T09:58:59.631019
B0G4V4B1X5,"15.6"" Laptop Computer Win 11 Office Suite FHD IPS sRGB Notebook 2.4G&5G WiFi BT 4.2 HDMI USB 3.0 5000mAh Battery for Home Student Business (8G+256G,N4000)",,laptop,,USD,,0.0,3.8,,,In Stock,False,,,https://m.media-amazon.com/images/I/71OhSL31WUL._AC_UY218_.jpg,2026-06-12T09:58:59.793118
B0D5HG7TC3,"KTGEE Wireless Earbuds Bluetooth 5.3 Headphones, 40Hrs Playback Stereo Ear Buds with LED Display Charging Case IPX7 Waterproof in-Ear Earphones with Mic for Phone Tablet Laptop Sports, White",,wireless earbuds,,USD,,0.0,4.3,,5000,In Stock,False,,,https://m.media-amazon.com/images/I/51VxSqysy6L._AC_UY218_.jpg,2026-06-12T09:59:20.334509
B0F18S2ND4,"Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Gym/Workout, Dark Green",,wireless earbuds,,USD,,0.0,4.3,3000000,1000,In Stock,False,,,https://m.media-amazon.com/images/I/71mvgjxKMyL._AC_UY218_.jpg,2026-06-12T09:59:20.618047
B0CRTR3PMF,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Green)",,wireless earbuds,,USD,,0.0,4.4,,10000,In Stock,False,,,https://m.media-amazon.com/images/I/51013C6va8L._AC_UY218_.jpg,2026-06-12T09:59:20.875886
B0H27VZ6VL,"Wireless Earbuds, Bluetooth 5.3 Headphones HiFi Stereo 50H Playback LED Digital Display Ear Buds with ENC Noise Canceling Headset, IPX7 Waterproof Earphones for Gym/Running/Work (Black)",,wireless earbuds,,USD,,0.0,4.8,,,In Stock,False,,,https://m.media-amazon.com/images/I/61D5ZCSIymL._AC_UY218_.jpg,2026-06-12T09:59:21.034130
B0GWML76W4,"HAOYUYAN Wireless Earbuds, Sports Bluetooth Headphones, LED Power Display Ear Buds with 80Hrs Playtime, Noise Canceling Headset, IPX7 Waterproof Earphones for Workout/Running",,wireless earbuds,,USD,,0.0,4.5,,,In Stock,False,,,https://m.media-amazon.com/images/I/61DzAvRWJlL._AC_UY218_.jpg,2026-06-12T09:59:21.421949
B0CRTYZG5C,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Black)",,wireless earbuds,2682.2,USD,3832.12,30.01,4.4,,10000,In Stock,False,,,https://m.media-amazon.com/images/I/51HbL1WS+KL._AC_UY218_.jpg,2026-06-12T09:59:21.831191
